Wavelength,Acoita,Aroeira_vermelha,Aroeira_braba,Inga,Pata_de_vaca
2132,0.201382431,0.265345491,0.200865152,0.180214727,0.273905537
2133,0.217548153,0.182128938,0.143748015,0.21191825,0.273463023
2134,0.24292095,0.12583129,0.114135341,0.244489732,0.270892459
2135,0.250690168,0.204438302,0.16643652,0.224258927,0.244255441
2136,0.247935238,0.281658369,0.21228956,0.205264089,0.217552182
2137,0.24760921,0.206668623,0.184322371,0.214766431,0.230689272
2138,0.256084824,0.133483667,0.156668943,0.231878546,0.24653559
2139,0.253576428,0.146726541,0.181716859,0.226230547,0.229805961
2140,0.240757483,0.171382326,0.206942394,0.210053861,0.203788793
2141,0.243246317,0.179766147,0.173643266,0.211850631,0.217752409
2142,0.254804531,0.178813311,0.136830917,0.232939094,0.246251115
2143,0.246921456,0.157389109,0.169500419,0.247433901,0.249172097
2144,0.226945075,0.132517308,0.216762057,0.237974167,0.236832228
2145,0.220685333,0.153565457,0.217593676,0.230196062,0.231869379
2146,0.232240912,0.20952653,0.189981896,0.240865675,0.241772535
2147,0.249197394,0.227203718,0.180248401,0.239513269,0.249560034
2148,0.25100621,0.207278365,0.180654666,0.222810137,0.247049245
2149,0.232368514,0.211090854,0.168588582,0.224701017,0.244385296
2150,0.203570446,0.21330837,0.162527096,0.257497466,0.234327978
2151,0.200047714,0.192305249,0.169314139,0.294538683,0.23556281
2152,0.255592319,0.172259173,0.167869177,0.289496428,0.270428953
2153,0.29775753,0.167750219,0.154423338,0.275692692,0.294089383
2154,0.277502236,0.171395269,0.172218442,0.272212753,0.274600741
2155,0.255808061,0.171082769,0.197001293,0.270143077,0.259518933
2156,0.251458508,0.189070848,0.179011306,0.26127696,0.283234057
2157,0.254578516,0.211370125,0.150803262,0.254417151,0.308851454
2158,0.241478685,0.20053443,0.151990373,0.254947591,0.281428874
2159,0.215657243,0.179560591,0.170559943,0.252207908,0.251822788
2160,0.202814713,0.180580768,0.19366383,0.239863428,0.276887482
2161,0.209390122,0.196055071,0.203417203,0.232242444,0.301829538
2162,0.229384291,0.211720198,0.183558294,0.242133054,0.279740104
2163,0.230857521,0.218996611,0.167306308,0.256276935,0.261755553
2164,0.213053426,0.203224102,0.164314673,0.258113456,0.26071431
2165,0.22088391,0.188718519,0.156388415,0.245168343,0.253018072
2166,0.249223351,0.206984076,0.147924821,0.243457371,0.247500059
2167,0.258277386,0.230942842,0.149339871,0.255836406,0.262105295
2168,0.248507905,0.226364206,0.171439044,0.256845587,0.272707409
2169,0.24053911,0.198207456,0.198859882,0.241287646,0.261176732
2170,0.237969367,0.182456854,0.205952287,0.229323114,0.25751107
2171,0.248211485,0.180300833,0.192962977,0.232737455,0.304469046
2172,0.258409676,0.178937331,0.1868836,0.230828124,0.359893948
2173,0.267385975,0.208658808,0.198732299,0.214127049,0.312175104
2174,0.2724594,0.242757934,0.208985794,0.211817573,0.25702568
2175,0.252194187,0.243957955,0.204267508,0.234577799,0.264150709
2176,0.239304399,0.242212576,0.198716736,0.249475101,0.290504494
2177,0.2543412,0.246758232,0.18719366,0.243648604,0.297536319
2178,0.263996515,0.247773468,0.17223172,0.242354098,0.282328448
2179,0.257683438,0.217926607,0.163363752,0.266787308,0.246354839
2180,0.258430475,0.192143637,0.160610546,0.291032451,0.225616872
2181,0.277010012,0.207611483,0.166463138,0.274654481,0.253057128
2182,0.288149589,0.235930955,0.172833452,0.259374496,0.275608894
2183,0.263014784,0.21382933,0.183917752,0.265237036,0.246243823
2184,0.238673687,0.175902221,0.190307157,0.260035756,0.222026527
2185,0.21973114,0.165219742,0.186977272,0.24530946,0.256322277
2186,0.20288052,0.192654157,0.190205434,0.241785553,0.306141722
2187,0.201152807,0.212059158,0.196012658,0.260487002,0.295095342
2188,0.20663355,0.191769916,0.192387414,0.27321246,0.268309844
2189,0.208621752,0.191454631,0.179929644,0.254748586,0.278077209
2190,0.217481902,0.23387602,0.173770666,0.229531416,0.311005616
2191,0.227583954,0.237691098,0.190885931,0.229698676,0.31265915
2192,0.216233295,0.198506147,0.208654323,0.257387182,0.289076149
2193,0.211209333,0.198731615,0.204341269,0.273345295,0.293202767
2194,0.240862834,0.235516495,0.194529212,0.263665038,0.318079466
2195,0.268327063,0.23821978,0.192727657,0.261016268,0.316156057
2196,0.258535558,0.208443239,0.21014635,0.275796536,0.279442865
2197,0.248069546,0.212763998,0.222993249,0.284445098,0.258320507
2198,0.256243312,0.271611786,0.198372191,0.267883068,0.284011951
2199,0.264701447,0.305339417,0.18005649,0.255443946,0.305842707
2200,0.25504882,0.247672901,0.194754976,0.270584309,0.283979818
2201,0.247657901,0.206981906,0.210660246,0.284107584,0.257433951
2202,0.260279629,0.221119338,0.18596448,0.261976185,0.255548844
2203,0.276686919,0.236075005,0.158177814,0.240086788,0.262558952
2204,0.273496485,0.205808698,0.165689582,0.244584525,0.282779691
2205,0.261911941,0.178680345,0.184660357,0.250023392,0.304097238
2206,0.273233864,0.20102317,0.200347811,0.240087861,0.293279257
2207,0.308039978,0.225604469,0.209698996,0.229979101,0.268306178
2208,0.327048823,0.217282757,0.19219729,0.248047283,0.252211466
2209,0.307463121,0.212923643,0.182842425,0.262788764,0.268393099
2210,0.278244048,0.228008088,0.200469875,0.25551703,0.287775546
2211,0.268046823,0.244356948,0.203008482,0.266428813,0.274707693
2212,0.290151235,0.234744543,0.202412236,0.28377398,0.271185747
2213,0.302769771,0.217568028,0.227020341,0.256214365,0.301667197
2214,0.278647295,0.210562551,0.231781486,0.230782014,0.314861834
2215,0.250299674,0.205717573,0.189745572,0.263663021,0.279462075
2216,0.247115818,0.19567757,0.172597852,0.288583604,0.259964511
2217,0.26417731,0.192071071,0.201493517,0.250742581,0.276595935
2218,0.28082234,0.211890784,0.217049173,0.233550969,0.286495802
2219,0.291269454,0.23620716,0.202959549,0.272151831,0.251439336
2220,0.294944456,0.239912486,0.197792119,0.300800249,0.233823436
2221,0.283583522,0.233184275,0.208719954,0.263118917,0.270465335
2222,0.271556261,0.239989024,0.206909138,0.237253127,0.298539102
